label	f1-score	# of instances
QUE	1.0	861
PRX	1.0	241
QUV	1.0	158
ALT	1.0	148
CLO	1.0	112
YOC	1.0	111
COL	1.0	97
POS	1.0	96
DST	1.0	92
LIT	1.0	78
SUB	1.0	54
DOM	1.0	30
NEC	1.0	29
ORD	1.0	17
MOR	1.0	14
DOW	1.0	13
CTC	1.0	12
BOT	1.0	7
LES	1.0	6
GRE	1.0	1
XCL	1.0	1
PER	0.9988	2080
UOM	0.9986	348
NOT	0.9983	579
EPS	0.9982	2540
DEF	0.9982	2243
PST	0.9981	799
PRO	0.998	3419
REL	0.9979	3133
NIL	0.9975	6610
CON	0.9971	5616
EXG	0.9971	698
HAS	0.997	1179
INT	0.9955	111
DIS	0.9946	1376
EXS	0.9932	1108
QUC	0.9929	560
NOW	0.9928	1932
IST	0.9921	1334
GEO	0.9916	60
GPE	0.9912	452
APX	0.9907	53
ROL	0.9893	800
BUT	0.9892	47
ENS	0.9889	1438
MOY	0.9877	40
PFT	0.9877	40
EXT	0.9863	146
EMP	0.9856	138
SCO	0.9851	34
ART	0.9844	64
IMP	0.9841	32
GPO	0.9823	111
FUT	0.9817	165
NTH	0.9804	26
GRP	0.9793	72
ORG	0.9792	98
COO	0.9756	80
HAP	0.9744	19
TOP	0.9677	47
AND	0.963	307
REF	0.9589	37
DEG	0.9553	173
EFS	0.9524	22
PRG	0.9231	7
EQU	0.8889	40
ITJ	0.0	1
SST	0.0	1
---	0.0	0
