label	f1-score	# of instances
QUE	1.0	109
NOT	1.0	76
POS	1.0	23
YOC	1.0	12
NEC	1.0	7
BUT	1.0	5
MOY	1.0	5
MOR	1.0	2
DOW	1.0	1
HAP	1.0	1
ORD	1.0	1
PRG	1.0	1
SCO	1.0	1
DEF	0.9961	255
DIS	0.9936	156
NIL	0.9928	832
HAS	0.9918	121
PRO	0.9911	447
PRX	0.9899	49
REL	0.9895	333
PST	0.9856	104
UOM	0.973	19
EPS	0.9708	269
ALT	0.9697	17
FUT	0.9643	28
QUC	0.9639	42
COL	0.96	12
CLO	0.9565	11
NOW	0.9562	276
QUV	0.9508	32
EXG	0.95	96
PER	0.9394	258
DST	0.9375	15
INT	0.9302	22
CON	0.9301	627
COO	0.9231	6
PFT	0.9231	6
EXS	0.9129	139
ENS	0.8997	186
TOP	0.8889	10
APX	0.8889	5
EXT	0.8696	26
AND	0.8684	40
GRP	0.8571	11
ROL	0.8451	109
GPE	0.8421	42
IST	0.8221	210
GPO	0.7407	14
SUB	0.7368	11
EMP	0.7273	7
REF	0.6667	3
EFS	0.6667	2
EQU	0.6667	2
DOM	0.6667	5
DEG	0.6512	19
GEO	0.5714	8
ORG	0.3333	11
ART	0.3333	2
LIT	0.0	3
NTH	0.0	1
